ListingKey,Status,URL,Message,Timestamp
3yd-SANDICOR-170035200,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=170035200,Successfully imported,
3yd-SANDICOR-170036238,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=170036238,Successfully imported,
3yd-SANDICOR-170049817,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=170049817,Successfully imported,
3yd-SANDICOR-170058644,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809635&listing=170058644,Successfully imported,
3yd-SANDICOR-170062323,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=170062323,Successfully imported,
3yd-SANDICOR-180000462,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180000462,Successfully imported,
3yd-SANDICOR-180000625,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180000625,Successfully imported,
3yd-SANDICOR-180000651,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180000651,Successfully imported,
3yd-SANDICOR-180000650,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180000650,Successfully imported,
3yd-SANDICOR-180000646,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180000646,Successfully imported,
3yd-SANDICOR-180000649,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180000649,Successfully imported,
3yd-SANDICOR-180001803,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180001803,Successfully imported,
3yd-SANDICOR-180001801,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180001801,Successfully imported,
3yd-SANDICOR-180001810,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180001810,Successfully imported,
3yd-SANDICOR-180001808,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180001808,Successfully imported,
3yd-SANDICOR-180001811,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180001811,Successfully imported,
3yd-SANDICOR-180002795,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180002795,Successfully imported,
3yd-SANDICOR-180002797,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180002797,Successfully imported,
3yd-SANDICOR-180002792,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180002792,Successfully imported,
3yd-SANDICOR-180002790,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180002790,Successfully imported,
3yd-SANDICOR-180003314,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180003314,Successfully imported,
3yd-SANDICOR-180003581,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180003581,Successfully imported,
3yd-SANDICOR-180004110,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180004110,Successfully imported,
3yd-SANDICOR-180005238,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180005238,Successfully imported,
3yd-SANDICOR-180006699,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180006699,Successfully imported,
3yd-SANDICOR-180006776,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180006776,Successfully imported,
3yd-SANDICOR-180007206,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180007206,Successfully imported,
3yd-SANDICOR-180007260,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180007260,Successfully imported,
3yd-SANDICOR-180007264,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180007264,Successfully imported,
3yd-SANDICOR-180007339,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180007339,Successfully imported,
3yd-SANDICOR-180007358,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180007358,Successfully imported,
3yd-SANDICOR-180007849,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180007849,Successfully imported,
3yd-SANDICOR-180009176,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180009176,Successfully imported,
3yd-SANDICOR-180009161,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180009161,Successfully imported,
3yd-SANDICOR-180013559,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180013559,Successfully imported,
3yd-SANDICOR-180015104,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180015104,Successfully imported,
3yd-SANDICOR-180017226,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=810432&listing=180017226,Successfully imported,
3yd-SANDICOR-180021732,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180021732,Successfully imported,
3yd-SANDICOR-180022454,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180022454,Successfully imported,
3yd-SANDICOR-180022764,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809620&listing=180022764,Successfully imported,
3yd-SANDICOR-180022819,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809635&listing=180022819,Successfully imported,
